years;AP_Beef;AP_Hides;AP_Lamb;AP_Pork;E_Coal;E_Natural gas;E_Petroleum;Cocoa;Coffee;Cotton;Cottonseed;Palm oil;Peanuts;Rubber;Sugar;Tea;Tobacco;Wool
1850;76,81;64,52;78,37;55,13;94,97;0;0;79,91;138,99;134,81;0;117,31;0;0;210,84;191,12;181,27;121,18
1851;78,47;77,74;81,92;76,31;108,08;0;0;78,67;120,28;111,49;0;111,85;0;0;224,01;182,45;202,11;129,03
1852;80,21;73,57;81,05;92,36;104,16;0;0;63,19;112,38;110,3;0;114,61;0;0;196,05;155,16;180,21;144,9
1853;100,92;85,27;99,47;84,04;113,5;0;0;92,88;115,69;107,06;0;146,22;0;0;221,62;193,16;183,08;156,98
1854;102,38;90,77;91,53;67,31;128,82;0;0;94,58;123,18;86,57;0;174,55;0;0;196,08;180,65;169,19;134,13
1855;101,76;104,61;87,26;84,3;124,43;0;0;91,88;116,69;92,79;0;155,42;0;0;220,94;170,5;166,46;128,74
1856;96,67;131,02;88,96;86,45;122,91;0;0;93,66;129,51;112,33;0;151,24;0;0;256,3;168,62;173,91;157,19
1857;96,22;159,87;88,06;99,91;135,64;0;0;85,81;128,76;126,38;0;157,45;0;0;309,41;195,24;172,03;168
1858;99,58;138,1;88,17;80,96;126,41;0;0;90,05;128,75;133,98;0;144,66;0;0;264,01;196,88;175,44;159,08
1859;98,59;139,84;90,72;88,15;120,67;0;0;76,42;138,22;120,59;0;165,26;0;0;245,55;218,7;169,06;171,93
1860;100,99;142,94;95,86;101,24;115,86;0;500;71,87;147,43;120,59;0;168,93;0;0;253,47;219,52;167,61;179,94
1861;95,32;117,31;88,85;66,82;110,83;0;468,63;69,55;159,44;143,69;0;155,97;0;0;216,8;189,08;164,32;157,35
1862;77,52;95,05;75;46,67;117,22;0;306,51;124,1;223,45;256,69;0;130,54;0;0;183,34;186,63;152,9;140,47
1863;65,29;65,86;61,22;55,07;122,67;0;354,51;134,36;245,13;307,47;0;89,99;0;0;141,64;145,85;121,53;117,58
1864;55,99;50,98;49,82;83,72;121,78;0;412,83;117,04;104,85;274,42;0;66,08;0;0;134,14;113,44;94,78;104,56
1865;56,46;46;55,92;104,38;131,02;0;424,07;132,1;100,34;178,51;0;69,36;0;0;109,17;119,45;90,81;96,56
1866;59,19;45,57;54,68;91,15;103,38;0;331,16;93,93;89,28;151,57;0;80,78;0;0;107,86;118,79;91,57;98,65
1867;60,82;48,9;52,92;70,22;94,31;0;261,73;77,02;83,73;118,61;0;84,63;0;0;124,66;124,84;98,28;90,78
1868;60,48;56,34;51,06;94,14;93,54;0;217,63;72;75,46;119,91;0;85,92;0;0;129,72;132,67;107,56;86,5
1869;67,49;60,67;60,58;115,2;100,85;0;221,72;68,07;78,71;143,47;0;91,87;0;0;144,99;127,69;100,25;83,38
1870;73,54;65,34;63,26;107,81;99,9;0;186,15;78,82;88,07;124,85;0;91,26;203,42;0;151,41;128,85;93,16;84,52
1871;86,76;76,15;73,41;68,47;106,73;0;174,48;66,69;108,73;95,43;0;95;221,77;0;167,16;131,73;104,66;114,58
1872;85,12;88,85;78,07;58,64;102,59;0;166,36;71,59;140,09;123,13;0;97,5;188,51;0;161,76;134,46;109,79;140,23
1873;93,56;95;84,44;62,87;109,72;0;130,56;65,75;172,87;103,69;0;96,97;178,83;0;154,1;136,34;90,07;136,45
1874;89,53;95,28;77,48;87,61;115,09;0;96,72;69,92;187,24;93,54;112,38;96,52;230,71;0;153,25;146,09;150,77;130,49
1875;100,18;87,1;92,06;112,7;113;0;100,68;69,36;175,67;91,35;126,1;100,15;197,43;0;150,01;149,17;87,92;127,2
1876;97;72,32;95,61;105,65;103,28;0;154,13;80,7;184,24;84,19;102,12;108,26;171,85;0;159,76;149,93;85,36;116,27
1877;93,56;83,9;93,79;83,97;89,48;0;132,11;87,77;197,85;99,35;104,53;116,65;152,63;0;188,7;149,36;64,64;116,16
1878;98,21;88,06;97,02;60,34;80,76;0;93,14;95,97;169,47;99,25;87,66;116,32;160,21;0;165,05;150,01;72,87;117,92
1879;90,19;82,88;91,31;61,1;79,27;0;70,64;108,44;149,34;100,51;99,85;104,07;133,06;0;158,45;144,02;76,64;106,22
1880;95,83;96,04;91,88;75,56;98,73;0;77,61;96,58;145,1;102,98;105,36;95,58;132,48;0;164,28;128,95;99,3;123,21
1881;93,87;90,99;96,06;99,64;88,46;0;72,49;88,23;118,37;85,82;116,69;95,58;145,73;0;170,72;122,73;117,69;107,24
1882;99,74;90,99;100,24;120,12;88,46;0;65,33;87,34;103,78;84,59;112,16;104,54;190,78;0;164,28;120,43;104,21;104,3
1883;101,79;92,86;103,72;100,79;86,25;0;66,22;94,79;105,38;77,58;103,49;124,98;213,63;0;161,09;121,74;110,11;99,8
1884;99,86;94,81;92,85;92,24;77,36;0;70,75;86,94;110,42;80,48;90,32;112,05;173,95;0;117,48;117,52;103,48;98,84
1885;91,5;94,06;82,9;72,84;94,9;0;69,66;87,51;91,97;88,64;81,92;95,28;112,7;0;119,88;122,76;97,77;91,84
1886;85;87,88;93,79;73,26;90,11;0;63,68;92,67;107,79;75,93;81,87;77,89;126,68;0;101,5;122,44;95,92;91,03
1887;75,67;84,21;77,81;85,59;94,23;0;59,94;88,28;193,66;75,11;92,55;70,63;113,92;0;100,4;108,87;138,36;93,54
1888;81,98;73,35;86,79;99,88;84,89;0;67,48;88,28;171,06;81,7;113,86;70,63;131,01;0;110,79;113,08;104,1;92,84
1889;84,74;70,2;97,44;79,12;86,87;0;66,71;84,05;204,28;89,89;86,22;82,96;173,68;0;135,99;114,76;89,89;106,46
1890;83,5;65,31;92,29;71,56;87,85;0;59,17;80,65;213,79;86,78;89,74;90,61;169,69;138,23;110,39;114,56;110,2;101,08
1891;87,9;62,47;82,9;79,72;87,85;0;45,71;75,94;201,16;71,63;89,11;87,26;113,13;129,18;112,2;115,74;112,95;91,92
1892;83,5;62,47;82,9;92,44;87,85;0;37,97;74,21;190,4;66,12;82,11;80,54;101,22;110,46;115,82;108,86;122,59;81,3
1893;83,35;63,19;85,44;120,94;86,17;0;44,18;82,45;214,77;62,7;93,35;82,32;102,38;118,41;108,91;107,22;110,07;81,49
1894;85,98;66,07;90,98;96,96;85,4;0;60,55;75,71;219,05;61,18;72,7;86,95;85,01;116,5;105,26;109,09;96,15;84,43
1895;88,1;87,69;98,31;85,63;82,69;0;100,44;73,77;205,55;65,67;71,03;83,64;96,77;131,42;94,12;112,24;101,49;94,05
1896;80,95;83,08;89,83;67,22;79,81;0;87,18;67,47;186,66;73,88;80,69;80;109,68;141,59;98,04;111,31;82,09;98,02
1897;86,78;81;94,38;72,99;78,85;0;58,93;71,85;95,45;73,29;64,94;81;91,45;151,49;87,35;110,45;111,82;89,59
1898;86,78;87,23;89,23;77,17;77,88;0;68,27;96,86;76,98;60,44;60,75;84,68;94,71;136,23;93,3;107,73;92,18;92
1899;96,42;91,9;92,66;80,84;84,69;0;96,85;87,33;75,44;66,49;87,28;92,04;111,04;103,68;97,27;104,08;107,29;109,28
1900;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100
1901;98,79;95,25;98,79;115,35;99,74;79,03;88,37;92,91;77,71;99,37;98,79;93,6;92,41;86,99;79,94;94,48;100,3;82,93
1902;97,6;94,59;97,6;133,95;105,11;78,33;89,28;92,37;68,64;101,39;106,35;97,6;107,05;83,36;63,11;98,91;104,65;88,91
1903;90,87;88,12;95,43;113,47;113,78;76,66;112,12;90,89;65,98;120,87;109,25;97,1;110,82;103,9;66,09;73,65;108,17;93,71
